cohort,event,verdict_kerr,max_abs_residual,network_matched_filter_snr,snr_rank_cohort_desc,snr_percentile_cohort_desc,snr_rank_combined_desc,snr_percentile_combined_desc,residual_rank_cohort_desc,residual_percentile_cohort_desc,residual_rank_combined_desc,residual_percentile_combined_desc,population_tail_rank,population_tail_rank_combined,M_total_source,q,redshift,audit_flags
T6.6_O3_literature,GW150914,marginal,1.6825246239592797,26.0,1,0.05263157894736842,2,0.06896551724137931,1,0.05263157894736842,1,0.034482758620689655,0.6842105263157895,0.7413793103448276,64.6,0.8670520231213873,0.1,TOP3_SNR_COHORT;TOP3_RESIDUAL_COHORT;TOP5_SNR_COMBINED;TOP5_RESIDUAL_COMBINED
T6.6_O3_literature,GW190521_074359,marginal,1.3236719708272138,25.9,2,0.10526315789473684,4,0.13793103448275862,4,0.21052631578947367,4,0.13793103448275862,0.3157894736842105,0.3620689655172414,76.8,0.7695852534562212,0.21,TOP3_SNR_COHORT;TOP5_SNR_COMBINED;TOP5_RESIDUAL_COMBINED
T6.6_O3_literature,GW170814,marginal,1.5153765715994187,17.7,3,0.15789473684210525,8,0.27586206896551724,3,0.15789473684210525,3,0.10344827586206896,0.42105263157894735,0.4482758620689655,55.8,0.8058252427184466,0.13,TOP3_SNR_COHORT;TOP3_RESIDUAL_COHORT;TOP5_RESIDUAL_COMBINED
T6.6_O3_literature,GW190828_063405,consistent,0.7992224979144349,16.5,4,0.21052631578947367,9,0.3103448275862069,10,0.5263157894736842,12,0.41379310344827586,0.5263157894736842,0.603448275862069,57.7,0.8087774294670848,0.38,
T6.6_O3_literature,GW190519_153544,consistent,0.7882835823248424,15.9,5,0.2631578947368421,12,0.41379310344827586,11,0.5789473684210527,13,0.4482758620689655,0.8947368421052632,0.9137931034482759,105.89999999999999,0.6267281105990784,0.45,
T6.6_O3_literature,GW190408_181802,consistent,0.8341115358050798,14.6,6,0.3157894736842105,14,0.4827586206896552,9,0.47368421052631576,10,0.3448275862068966,0.3684210526315789,0.41379310344827586,43.3,0.7459677419354839,0.29,
T6.6_O3_literature,GW190910_112807,consistent,0.8547535574755591,14.5,7,0.3684210526315789,15,0.5172413793103449,8,0.42105263157894735,9,0.3103448275862069,0.10526315789473684,0.08620689655172414,78.0,0.7808219178082193,0.29,
T6.6_O3_literature,GW190521,consistent,0.5957152852309658,14.3,8,0.42105263157894735,17,0.5862068965517241,14,0.7368421052631579,20,0.6896551724137931,1.0,1.0,155.60000000000002,0.5813008130081301,0.56,
T6.6_O3_literature,GW170104,marginal,1.0150584554967024,13.8,9,0.47368421052631576,18,0.6206896551724138,5,0.2631578947368421,5,0.1724137931034483,0.21052631578947367,0.22413793103448276,49.5,0.7247386759581882,0.22,TOP5_RESIDUAL_COMBINED
T6.6_O3_literature,GW190706_222641,consistent,0.8916206377330911,13.4,10,0.5263157894736842,20,0.6896551724137931,7,0.3684210526315789,8,0.27586206896551724,0.9473684210526315,0.9655172413793104,113.4,0.5324324324324324,0.6,
